date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-12-01,Sacramento Kings,124.0,Los Angeles Clippers,115.0,-3.91,1.52,108.85,106.08,112.9,105.05,-4.05,1.03,-3.14,1.64,108.54,105.4,111.8,104.28,-3.26,1.11,away
2021-12-02,Chicago Bulls,119.0,New York Knicks,115.0,4.45,0.05,111.54,109.94,107.14,109.87,4.4,0.07,3.93,-0.46,111.33,110.01,107.44,110.4,3.88,-0.39,away
2021-12-02,Milwaukee Bucks,93.0,Toronto Raptors,97.0,3.59,-1.09,111.3,110.76,107.65,111.89,3.66,-1.13,2.33,-0.62,111.25,111.25,108.82,111.89,2.44,-0.63,home
2021-12-02,Oklahoma City Thunder,79.0,Memphis Grizzlies,152.0,-7.1,-4.38,101.33,110.62,108.57,115.26,-7.24,-4.64,-6.8,-3.39,101.94,110.97,108.86,114.64,-6.92,-3.67,home
2021-12-02,Detroit Pistons,103.0,Phoenix Suns,114.0,-9.57,7.62,101.39,112.25,111.14,104.62,-9.75,7.63,-8.6,7.13,101.77,111.45,110.52,104.29,-8.75,7.16,home
2021-12-02,San Antonio Spurs,114.0,Portland Trail Blazers,83.0,-1.84,0.32,107.24,113.94,109.05,113.71,-1.81,0.23,-2.73,1.19,107.41,114.85,110.1,113.8,-2.69,1.05,away
2021-12-03,Miami Heat,113.0,Indiana Pacers,104.0,4.09,1.04,112.08,109.32,108.04,108.18,4.04,1.14,3.96,1.32,112.4,108.4,108.49,106.96,3.92,1.44,away
2021-12-03,Cleveland Cavaliers,116.0,Washington Wizards,101.0,2.14,0.45,108.4,108.99,106.08,108.62,2.32,0.37,3.12,0.18,108.61,108.25,105.29,108.14,3.32,0.11,away
2021-12-03,Philadelphia 76ers,98.0,Atlanta Hawks,96.0,0.95,2.64,111.19,114.25,110.12,111.59,1.08,2.66,0.65,3.15,110.85,114.74,110.09,111.53,0.76,3.22,away
2021-12-03,Minnesota Timberwolves,105.0,Brooklyn Nets,110.0,1.14,4.0,108.97,111.48,107.6,107.27,1.36,4.2,0.58,3.49,108.9,111.82,108.2,108.13,0.71,3.7,home
2021-12-03,Orlando Magic,116.0,Houston Rockets,118.0,-10.17,-7.9,101.58,102.0,111.88,109.82,-10.3,-7.82,-9.12,-8.61,101.66,102.12,110.84,110.66,-9.17,-8.54,home
2021-12-03,New Orleans Pelicans,107.0,Dallas Mavericks,91.0,-7.54,-0.7,106.88,110.21,114.68,110.75,-7.8,-0.54,-5.96,-0.41,107.58,110.96,113.8,111.27,-6.22,-0.31,away
2021-12-03,Boston Celtics,130.0,Utah Jazz,137.0,1.64,9.67,107.67,116.84,105.99,106.86,1.68,9.98,0.85,7.98,107.35,115.29,106.43,107.05,0.93,8.24,home
2021-12-03,Phoenix Suns,96.0,Golden State Warriors,118.0,7.77,12.62,112.58,113.97,104.77,101.22,7.81,12.75,7.01,11.45,111.9,113.26,104.84,101.75,7.07,11.51,home
2021-12-03,Los Angeles Clippers,119.0,Los Angeles Lakers,115.0,1.05,-1.61,106.59,107.32,106.02,108.89,0.57,-1.57,1.03,-2.84,105.73,107.24,105.21,110.05,0.52,-2.82,away
2021-12-04,Denver Nuggets,113.0,New York Knicks,99.0,-0.48,-0.14,109.23,110.26,109.66,110.39,-0.43,-0.12,0.5,-0.48,109.03,110.35,108.46,110.78,0.57,-0.43,away
2021-12-04,Chicago Bulls,111.0,Brooklyn Nets,107.0,4.43,4.05,111.96,111.44,107.57,107.2,4.38,4.24,3.89,3.62,111.64,111.87,107.79,108.04,3.84,3.82,away
2021-12-04,Miami Heat,102.0,Milwaukee Bucks,124.0,4.3,3.26,112.66,111.01,108.36,107.71,4.3,3.3,4.17,2.02,112.89,110.77,108.72,108.69,4.17,2.08,home
2021-12-04,Memphis Grizzlies,97.0,Dallas Mavericks,90.0,-0.86,-1.43,112.83,109.39,113.78,110.69,-0.95,-1.29,-0.34,-1.47,113.13,109.87,113.58,111.26,-0.45,-1.39,away
2021-12-04,San Antonio Spurs,112.0,Golden State Warriors,107.0,-0.2,13.05,107.59,114.23,107.76,101.05,-0.16,13.18,-1.42,12.24,107.27,113.82,108.67,101.5,-1.4,12.33,away
2021-12-04,Boston Celtics,145.0,Portland Trail Blazers,117.0,1.26,-1.04,108.67,112.6,107.37,113.74,1.3,-1.13,0.79,-0.17,108.43,113.38,107.56,113.67,0.87,-0.29,away
2021-12-04,Los Angeles Clippers,99.0,Sacramento Kings,104.0,1.17,-3.35,107.5,109.61,106.77,113.09,0.73,-3.48,1.09,-2.72,106.9,109.39,106.28,112.25,0.62,-2.86,home
2021-12-05,Utah Jazz,109.0,Cleveland Cavaliers,108.0,9.55,2.7,117.79,108.98,107.94,106.08,9.85,2.9,8.03,3.44,116.6,109.03,108.31,105.37,8.29,3.66,away
2021-12-05,Charlotte Hornets,130.0,Atlanta Hawks,127.0,-0.5,2.43,112.5,113.86,112.88,111.41,-0.38,2.45,0.17,2.98,113.25,114.29,112.96,111.25,0.29,3.03,away
2021-12-05,Washington Wizards,90.0,Toronto Raptors,102.0,-0.22,-0.87,108.86,110.69,109.19,111.57,-0.33,-0.88,-0.25,-0.09,108.47,111.08,108.8,111.16,-0.33,-0.08,home
2021-12-05,New Orleans Pelicans,108.0,Houston Rockets,118.0,-6.6,-7.45,106.98,102.75,113.81,110.12,-6.83,-7.37,-5.4,-8.63,107.62,102.64,113.26,111.21,-5.64,-8.57,home
2021-12-06,Philadelphia 76ers,,Charlotte Hornets,,1.0,-0.36,111.03,113.34,109.9,113.58,1.12,-0.24,0.78,0.38,110.55,114.01,109.65,113.5,0.9,0.51,home
2021-12-06,Oklahoma City Thunder,,Detroit Pistons,,-10.09,-9.64,100.49,101.69,110.88,111.52,-10.39,-9.83,-9.8,-8.51,100.67,102.32,110.75,111.0,-10.08,-8.68,home
2021-12-06,Washington Wizards,,Indiana Pacers,,-0.71,0.64,108.49,109.57,109.37,108.87,-0.87,0.69,-0.73,1.06,107.97,108.76,108.84,107.63,-0.87,1.13,home
2021-12-06,Memphis Grizzlies,,Miami Heat,,-0.52,3.21,112.29,112.33,112.89,109.15,-0.6,3.18,-0.22,3.23,112.45,112.72,112.76,109.5,-0.31,3.21,home
2021-12-06,Denver Nuggets,,Chicago Bulls,,0.18,4.42,110.05,111.93,109.75,107.56,0.3,4.37,0.97,3.9,109.83,111.57,108.71,107.71,1.12,3.87,home
2021-12-06,Cleveland Cavaliers,,Milwaukee Bucks,,2.54,4.04,109.27,111.69,106.53,107.58,2.74,4.1,3.58,3.05,109.42,111.48,105.63,108.35,3.79,3.13,home
2021-12-06,Atlanta Hawks,,Minnesota Timberwolves,,2.21,0.87,114.55,108.82,112.33,107.74,2.22,1.08,2.69,0.42,114.82,108.77,112.08,108.21,2.74,0.56,home
2021-12-06,San Antonio Spurs,,Phoenix Suns,,0.05,6.48,108.0,111.92,107.91,105.42,0.09,6.5,-0.52,6.15,108.28,111.63,108.77,105.44,-0.49,6.19,home
2021-12-06,Orlando Magic,,Golden State Warriors,,-9.83,12.26,102.2,114.09,112.15,101.7,-9.95,12.39,-9.06,11.38,102.21,113.74,111.32,102.29,-9.11,11.45,home
2021-12-06,Los Angeles Clippers,,Portland Trail Blazers,,0.92,-2.17,107.04,112.88,106.55,115.16,0.5,-2.28,0.46,-1.23,106.26,113.85,106.26,115.2,0.0,-1.36,home
