date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-11-18,Los Angeles Clippers,108.0,Memphis Grizzlies,120.0,5.86,-3.64,107.3,109.75,101.96,113.53,5.34,-3.78,6.57,-2.3,106.83,111.4,100.84,113.85,5.99,-2.45,home
2021-11-18,San Antonio Spurs,90.0,Minnesota Timberwolves,115.0,-0.93,-3.29,106.47,104.97,107.29,108.21,-0.82,-3.24,-2.82,-3.65,106.37,105.77,109.06,109.54,-2.69,-3.77,home
2021-11-18,Philadelphia 76ers,103.0,Denver Nuggets,89.0,1.53,4.64,114.06,108.84,112.45,103.88,1.61,4.97,0.79,4.62,113.24,108.03,112.41,103.07,0.84,4.96,away
2021-11-18,Toronto Raptors,103.0,Utah Jazz,119.0,0.73,8.64,111.51,114.17,110.76,105.31,0.76,8.86,0.73,8.67,112.09,113.48,111.31,104.57,0.78,8.91,home
2021-11-19,Indiana Pacers,118.0,Charlotte Hornets,121.0,-0.44,-1.06,108.49,109.68,108.99,110.53,-0.5,-0.85,0.37,0.96,107.93,110.99,107.58,109.85,0.36,1.14,home
2021-11-19,Golden State Warriors,105.0,Detroit Pistons,102.0,13.67,-9.36,113.8,101.29,100.04,110.84,13.76,-9.54,12.21,-9.28,113.26,100.71,100.98,110.14,12.28,-9.43,away
2021-11-19,Los Angeles Lakers,108.0,Boston Celtics,130.0,-2.94,0.27,105.65,106.89,108.52,106.54,-2.87,0.35,-4.0,0.08,105.59,106.59,109.51,106.41,-3.92,0.18,home
2021-11-19,Orlando Magic,113.0,Brooklyn Nets,115.0,-9.13,3.88,102.27,109.47,111.53,105.39,-9.26,4.08,-9.14,3.19,101.8,109.21,111.02,105.83,-9.22,3.38,home
2021-11-19,Oklahoma City Thunder,89.0,Milwaukee Bucks,96.0,-7.07,-1.33,100.29,108.91,107.47,110.21,-7.18,-1.31,-6.42,-1.45,101.02,108.68,107.52,110.06,-6.5,-1.38,home
2021-11-19,Los Angeles Clippers,81.0,New Orleans Pelicans,94.0,4.67,-9.63,107.62,105.52,103.47,115.41,4.15,-9.89,5.48,-8.23,106.84,105.68,101.91,114.17,4.93,-8.49,home
2021-11-19,Chicago Bulls,114.0,Denver Nuggets,108.0,5.13,3.4,110.88,107.99,105.79,104.36,5.09,3.63,5.23,3.55,110.62,106.93,105.44,103.12,5.18,3.8,away
2021-11-19,Dallas Mavericks,104.0,Phoenix Suns,112.0,-1.14,5.64,108.09,109.68,109.13,104.17,-1.03,5.51,-1.77,3.42,107.92,107.66,109.57,104.38,-1.65,3.28,home
2021-11-19,Toronto Raptors,108.0,Sacramento Kings,89.0,-0.31,0.2,111.25,110.71,111.58,110.57,-0.33,0.13,0.07,0.16,111.95,110.93,111.89,110.86,0.06,0.07,away
2021-11-20,Houston Rockets,99.0,New York Knicks,106.0,-11.07,0.53,99.11,110.58,110.02,109.99,-10.9,0.58,-11.48,-0.64,99.66,109.66,110.97,110.22,-11.31,-0.56,home
2021-11-20,New Orleans Pelicans,94.0,Indiana Pacers,111.0,-8.29,-0.59,105.34,108.89,113.82,109.53,-8.48,-0.64,-6.99,0.49,105.77,108.5,112.97,108.01,-7.2,0.49,home
2021-11-20,Miami Heat,100.0,Washington Wizards,103.0,8.06,2.6,113.67,108.19,105.48,105.74,8.19,2.45,8.18,2.86,114.28,107.21,105.95,104.47,8.33,2.74,home
2021-11-20,Charlotte Hornets,105.0,Atlanta Hawks,115.0,-0.82,-0.5,110.18,112.07,110.81,112.63,-0.63,-0.56,0.86,0.96,111.18,113.55,110.16,112.6,1.02,0.94,home
2021-11-20,Oklahoma City Thunder,105.0,Boston Celtics,111.0,-7.07,1.63,99.66,108.39,106.84,106.68,-7.17,1.71,-7.05,1.52,100.0,108.31,107.13,106.67,-7.13,1.64,home
2021-11-20,Orlando Magic,108.0,Milwaukee Bucks,117.0,-8.69,-0.81,103.16,108.23,111.97,109.01,-8.81,-0.78,-8.15,-1.18,102.99,108.05,111.2,109.15,-8.21,-1.1,home
2021-11-20,Memphis Grizzlies,95.0,Minnesota Timberwolves,138.0,-2.6,-1.4,110.74,106.41,113.44,107.6,-2.7,-1.19,-1.58,-2.71,112.39,106.82,114.12,109.48,-1.73,-2.65,home
2021-11-20,Philadelphia 76ers,111.0,Portland Trail Blazers,118.0,2.31,0.25,113.87,112.52,111.42,112.4,2.45,0.12,2.22,1.07,113.63,113.64,111.26,112.8,2.37,0.85,home
2021-11-20,Utah Jazz,123.0,Sacramento Kings,105.0,9.13,-1.0,114.82,109.73,105.44,110.87,9.38,-1.14,9.25,-0.92,114.25,109.79,104.72,110.87,9.53,-1.07,away
2021-11-21,Dallas Mavericks,91.0,Los Angeles Clippers,97.0,-1.6,3.56,107.99,106.42,109.5,103.41,-1.51,3.01,-1.82,3.66,108.25,105.16,109.97,102.1,-1.72,3.06,home
2021-11-21,Los Angeles Lakers,121.0,Detroit Pistons,116.0,-4.06,-8.93,105.83,102.04,109.83,111.17,-4.0,-9.13,-5.2,-7.88,105.82,102.16,110.96,110.18,-5.15,-8.03,away
2021-11-21,New York Knicks,103.0,Chicago Bulls,109.0,0.94,5.19,110.41,111.57,109.42,106.4,0.99,5.17,-0.88,5.65,109.53,111.65,110.32,106.0,-0.79,5.65,home
2021-11-21,Denver Nuggets,97.0,Phoenix Suns,126.0,2.81,5.8,108.47,110.02,105.47,104.33,3.0,5.69,3.13,3.35,107.55,108.04,104.22,104.82,3.33,3.23,home
