date,start,away,away_pts,home,home_pts,attend,winner
2021-11-17,7:30p,Boston Celtics,,Atlanta Hawks,,,home
2021-11-17,7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,home
2021-11-17,7:30p,New Orleans Pelicans,,Miami Heat,,,home
2021-11-17,7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,home
2021-11-17,7:30p,Orlando Magic,,New York Knicks,,,home
2021-11-17,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,home
2021-11-17,8:00p,Houston Rockets,,Oklahoma City Thunder,,,home
2021-11-17,10:00p,Dallas Mavericks,,Phoenix Suns,,,home
2021-11-17,10:00p,Chicago Bulls,,Portland Trail Blazers,,,home
2021-11-18,7:30p,Golden State Warriors,,Cleveland Cavaliers,,,home
2021-11-18,7:30p,Washington Wizards,,Miami Heat,,,home
2021-11-18,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,home
2021-11-18,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,home
2021-11-18,9:00p,Philadelphia 76ers,,Denver Nuggets,,,home
2021-11-18,9:00p,Toronto Raptors,,Utah Jazz,,,home
2021-11-19,7:00p,Indiana Pacers,,Charlotte Hornets,,,home
2021-11-19,7:00p,Golden State Warriors,,Detroit Pistons,,,home
2021-11-19,7:30p,Los Angeles Lakers,,Boston Celtics,,,home
2021-11-19,7:30p,Orlando Magic,,Brooklyn Nets,,,home
2021-11-19,8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,home
2021-11-19,8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,home
2021-11-19,9:00p,Chicago Bulls,,Denver Nuggets,,,home
2021-11-19,10:00p,Dallas Mavericks,,Phoenix Suns,,,home
2021-11-19,10:00p,Toronto Raptors,,Sacramento Kings,,,home
2021-11-20,5:00p,Houston Rockets,,New York Knicks,,,home
2021-11-20,7:00p,New Orleans Pelicans,,Indiana Pacers,,,home
2021-11-20,7:00p,Miami Heat,,Washington Wizards,,,home
2021-11-20,7:30p,Charlotte Hornets,,Atlanta Hawks,,,home
2021-11-20,7:30p,Oklahoma City Thunder,,Boston Celtics,,,home
2021-11-20,8:00p,Orlando Magic,,Milwaukee Bucks,,,home
2021-11-20,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,home
2021-11-20,10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,home
2021-11-20,10:00p,Utah Jazz,,Sacramento Kings,,,home
2021-11-21,3:30p,Dallas Mavericks,,Los Angeles Clippers,,,home
2021-11-21,6:00p,Los Angeles Lakers,,Detroit Pistons,,,home
2021-11-21,8:00p,New York Knicks,,Chicago Bulls,,,home
2021-11-21,8:00p,Denver Nuggets,,Phoenix Suns,,,home
2021-11-21,8:30p,Toronto Raptors,,Golden State Warriors,,,home
2021-11-22,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,home
2021-11-22,7:00p,Charlotte Hornets,,Washington Wizards,,,home
2021-11-22,7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,home
2021-11-22,7:30p,Houston Rockets,,Boston Celtics,,,home
2021-11-22,8:00p,Indiana Pacers,,Chicago Bulls,,,home
2021-11-22,8:00p,Orlando Magic,,Milwaukee Bucks,,,home
2021-11-22,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,home
2021-11-22,8:30p,Phoenix Suns,,San Antonio Spurs,,,home
2021-11-22,9:00p,Memphis Grizzlies,,Utah Jazz,,,home
2021-11-22,10:00p,Philadelphia 76ers,,Sacramento Kings,,,home
2021-11-23,7:00p,Miami Heat,,Detroit Pistons,,,home
2021-11-23,7:30p,Los Angeles Lakers,,New York Knicks,,,home
2021-11-23,10:00p,Denver Nuggets,,Portland Trail Blazers,,,home
2021-11-23,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,home
2021-11-24,7:00p,Phoenix Suns,,Cleveland Cavaliers,,,home
2021-11-24,7:00p,Los Angeles Lakers,,Indiana Pacers,,,home
2021-11-24,7:00p,Charlotte Hornets,,Orlando Magic,,,home
2021-11-24,7:30p,Brooklyn Nets,,Boston Celtics,,,home
2021-11-24,8:00p,Chicago Bulls,,Houston Rockets,,,home
2021-11-24,8:00p,Toronto Raptors,,Memphis Grizzlies,,,home
2021-11-24,8:00p,Detroit Pistons,,Milwaukee Bucks,,,home
2021-11-24,8:00p,Miami Heat,,Minnesota Timberwolves,,,home
2021-11-24,8:00p,Washington Wizards,,New Orleans Pelicans,,,home
2021-11-24,8:00p,Utah Jazz,,Oklahoma City Thunder,,,home
2021-11-24,8:30p,Atlanta Hawks,,San Antonio Spurs,,,home
2021-11-24,10:00p,Philadelphia 76ers,,Golden State Warriors,,,home
2021-11-24,10:00p,Portland Trail Blazers,,Sacramento Kings,,,home
2021-11-26,3:30p,Detroit Pistons,,Los Angeles Clippers,,,home
2021-11-26,7:00p,Minnesota Timberwolves,,Charlotte Hornets,,,home
2021-11-26,7:00p,Phoenix Suns,,New York Knicks,,,home
2021-11-26,7:00p,Chicago Bulls,,Orlando Magic,,,home
2021-11-26,8:00p,Toronto Raptors,,Indiana Pacers,,,home
2021-11-26,8:00p,Atlanta Hawks,,Memphis Grizzlies,,,home
2021-11-26,8:00p,Washington Wizards,,Oklahoma City Thunder,,,home
2021-11-26,8:30p,Boston Celtics,,San Antonio Spurs,,,home
2021-11-26,9:00p,Milwaukee Bucks,,Denver Nuggets,,,home
2021-11-26,9:00p,New Orleans Pelicans,,Utah Jazz,,,home
2021-11-26,10:00p,Portland Trail Blazers,,Golden State Warriors,,,home
2021-11-26,10:30p,Sacramento Kings,,Los Angeles Lakers,,,home
2021-11-27,6:00p,Minnesota Timberwolves,,Philadelphia 76ers,,,home
2021-11-27,7:30p,New York Knicks,,Atlanta Hawks,,,home
2021-11-27,7:30p,Phoenix Suns,,Brooklyn Nets,,,home
2021-11-27,8:00p,Miami Heat,,Chicago Bulls,,,home
2021-11-27,8:00p,Orlando Magic,,Cleveland Cavaliers,,,home
2021-11-27,8:00p,Charlotte Hornets,,Houston Rockets,,,home
2021-11-27,8:30p,Washington Wizards,,Dallas Mavericks,,,home
2021-11-27,9:00p,New Orleans Pelicans,,Utah Jazz,,,home
2021-11-28,3:30p,Golden State Warriors,,Los Angeles Clippers,,,home
2021-11-28,5:00p,Milwaukee Bucks,,Indiana Pacers,,,home
